#a	c	mean	std
0.0001	-0.999	0.8121049246996668	0.03638185388804535
0.0001	-0.9	0.7977075959016002	0.03332726752388612
0.0001	-0.8	0.7777574710406752	0.033078664246829446
0.0001	-0.7	0.7597031072814657	0.032134493149397536
0.0001	-0.6	0.7398000606613503	0.035471964678170126
0.0001	-0.5	0.7220085448605092	0.035382751886237934
0.0001	-0.4	0.7014726293586588	0.04082430200004811
0.0001	-0.3	0.6844825068470233	0.040619078301313324
0.0001	-0.2	0.6688814640586751	0.04134261009268859
0.0001	-0.1	0.6518302399173675	0.044799991927692295
0.0001	-0.0	0.6374498103508112	0.04868448290554
0.0001	0.1	0.6245485870438569	0.05268368016964882
0.0001	0.2	0.6152876289844247	0.05177177355108993
0.0001	0.3	0.6021516366392549	0.05211415084291818
0.0001	0.4	0.5921102626187613	0.05276951030468944
0.0001	0.5	0.5795326295583383	0.0537120691971957
0.0001	0.6	0.5683836041824317	0.06006878281288747
0.0001	0.7	0.5584379942766226	0.05418891759406533
0.0001	0.8	0.548207564538166	0.059439570464466206
0.0001	0.9	0.5378889553371056	0.060794442305564
0.0001	0.999	0.5345949665954972	0.05969419010763394
0.049999999999999996	-0.998	0.7881660365832499	0.04266731724346467
0.049999999999999996	-0.9	0.7722518095329175	0.04016567534568965
0.049999999999999996	-0.8	0.7461718484391597	0.04154324369076487
0.049999999999999996	-0.7	0.7279999569494732	0.040185630824934496
0.049999999999999996	-0.6	0.7063932484533022	0.04335034233586294
0.049999999999999996	-0.5	0.6877733166841641	0.0389631273197163
0.049999999999999996	-0.4	0.6667101837704068	0.045408802351916355
0.049999999999999996	-0.3	0.6520165626411847	0.044529475120260335
0.049999999999999996	-0.2	0.6378111360905662	0.04793929625110545
0.049999999999999996	-0.1	0.6194654678271386	0.0495800873108542
0.049999999999999996	-0.0	0.6043417256670875	0.05195011120637505
0.049999999999999996	0.098	0.5846899848615804	0.05690623596737352
0.049999999999999996	0.198	0.5750940812752128	0.054474744985514606
0.049999999999999996	0.298	0.5632747921189106	0.059024031511604895
0.049999999999999996	0.398	0.5525793713871728	0.05990066298960895
0.049999999999999996	0.498	0.5363121574617822	0.061750130737314085
0.049999999999999996	0.598	0.5276600663947754	0.06270673341619248
0.049999999999999996	0.698	0.5188772512483447	0.06357168670740895
0.049999999999999996	0.798	0.5120347050285879	0.06481715312593644
0.049999999999999996	0.898	0.5051196570947292	0.0608299868858372
0.049999999999999996	0.998	0.49509422413842	0.06458278650975223
0.09999999999999999	-0.999	0.7617592933472898	0.05141541260566368
0.09999999999999999	-0.9	0.7321575079930548	0.05093292045788082
0.09999999999999999	-0.8	0.7233343792019601	0.04324594844226198
0.09999999999999999	-0.7	0.701728822773845	0.043132359803104155
0.09999999999999999	-0.6	0.6858759996654498	0.0407826569811257
0.09999999999999999	-0.5	0.6571843435573538	0.047275888999130954
0.09999999999999999	-0.4	0.640218454880088	0.046651969373417264
0.09999999999999999	-0.3	0.6260946273743707	0.04801775281577003
0.09999999999999999	-0.2	0.6039622464001319	0.05329079075798358
0.09999999999999999	-0.1	0.5863616646260971	0.051074525982772456
0.09999999999999999	-0.0	0.5779650344654074	0.05984442398534168
0.09999999999999999	0.099	0.5617361054352027	0.057862945550119865
0.09999999999999999	0.199	0.5485892071326128	0.05641590707466167
0.09999999999999999	0.299	0.5390163636805173	0.058201075123886524
