#a	c	gamma	std
0.0001	-0.999	-0.00021327119842211388	0.015811546762183906
0.0001	-0.9	0.0005508129317816988	0.015953507502230464
0.0001	-0.8	-0.0016319836465039678	0.016214426573041497
0.0001	-0.7	-0.0007381234746194988	0.014909447987902176
0.0001	-0.6	-0.00014200839918862614	0.014150393895055876
0.0001	-0.5	0.0008655401479412317	0.014070106981449315
0.0001	-0.4	-0.0020368032963960945	0.01564871876819286
0.0001	-0.3	0.0003392979546945891	0.016025111089137387
0.0001	-0.2	-0.0004507636358218647	0.01737123218162663
0.0001	-0.1	-0.0018040917107156695	0.01580352676192026
0.0001	-0.0	3.3366423495301556e-05	0.013983349922076678
0.0001	0.1	-5.03225109365006e-05	0.01568314315240552
0.0001	0.2	0.00046835803199826286	0.01522097128710942
0.0001	0.3	-0.0028544795406955613	0.013479389859536377
0.0001	0.4	0.0010692192861568744	0.014712732884438038
0.0001	0.5	0.0014430887175320433	0.015988718984425887
0.0001	0.6	0.0011915814126878606	0.014617677865482922
0.0001	0.7	0.0040624418169718625	0.016582511701106455
0.0001	0.8	-0.0012335079560938983	0.015051156331997937
0.0001	0.9	0.0014421263576942557	0.014239975700781319
0.0001	0.999	0.0031679118233177398	0.01515943755724175
0.049999999999999996	-0.998	0.008943608610488674	0.017453230218964538
0.049999999999999996	-0.9	0.0226239116508249	0.019073578928939107
0.049999999999999996	-0.8	0.023958987752273068	0.020267135234224656
0.049999999999999996	-0.7	0.029727666822771018	0.021307842071659318
0.049999999999999996	-0.6	0.03171708449667087	0.02372755073487201
0.049999999999999996	-0.5	0.027978934089070474	0.021474987737803042
0.049999999999999996	-0.4	0.028880100169791062	0.02078598436344786
0.049999999999999996	-0.3	0.029235949817451326	0.021904562619544342
0.049999999999999996	-0.2	0.029688611944415206	0.02244849206774924
0.049999999999999996	-0.1	0.031080411416861613	0.022536655787732774
0.049999999999999996	-0.0	0.033264267424093816	0.02005904846899436
0.049999999999999996	0.098	0.034599935423860924	0.022818108652562185
0.049999999999999996	0.198	0.034864773398786686	0.020749234964767563
0.049999999999999996	0.298	0.032133262405243	0.020218243314269753
0.049999999999999996	0.398	0.03536980636539781	0.020984774423096167
0.049999999999999996	0.498	0.03638211823208543	0.02367403469391856
0.049999999999999996	0.598	0.03533713996079338	0.020739475520799598
0.049999999999999996	0.698	0.03527925193309349	0.019404305923357904
0.049999999999999996	0.798	0.032644609515186815	0.021323709547457208
0.049999999999999996	0.898	0.0322063427908438	0.0187464619524886
0.049999999999999996	0.998	0.033168100428514695	0.01878864633454603
0.09999999999999999	-0.999	0.023821955592139364	0.023385063889352083
0.09999999999999999	-0.9	0.0495455957412895	0.02334214919293537
0.09999999999999999	-0.8	0.05014964924349284	0.026833646373662236
0.09999999999999999	-0.7	0.058961968607425176	0.025000014001439117
0.09999999999999999	-0.6	0.05599507098512491	0.028748714781998874
0.09999999999999999	-0.5	0.05890299948247615	0.030924263283065946
