#a	c	var	std
0.0001	-0.999	0.001982948660956307	0.0005607844838565653
0.0001	-0.9	0.004014005895821921	0.0005193129362256305
0.0001	-0.8	0.005833233593898442	0.0006581298872310362
0.0001	-0.7	0.0076044268026178325	0.0008407991350783721
0.0001	-0.6	0.009102172613914796	0.0010622278429858057
0.0001	-0.5	0.01046481790554115	0.001240345402447397
0.0001	-0.4	0.011632869300231248	0.0014629602032942845
0.0001	-0.3	0.012806395587609916	0.0016497962840375557
0.0001	-0.2	0.013666769078114979	0.001733398712222215
0.0001	-0.1	0.014495992646285044	0.0020328786614486356
0.0001	-0.0	0.015296688382872927	0.0023089098488662694
0.0001	0.1	0.016070929102340564	0.0027105784185789974
0.0001	0.2	0.01671163808027295	0.0027487783382378556
0.0001	0.3	0.017261236509617202	0.00291291693248599
0.0001	0.4	0.01819534313966657	0.0031174766059552613
0.0001	0.5	0.018499683746721778	0.003314273525455839
0.0001	0.6	0.019091943806496304	0.003837776802980685
0.0001	0.7	0.019586910004898886	0.0037068354581832226
0.0001	0.8	0.01971473637650119	0.00411564941636972
0.0001	0.9	0.020370172562235844	0.004373196810851488
0.0001	0.999	0.021045986911675918	0.004546710313807268
0.049999999999999996	-0.998	0.0025544952766370192	0.0008307762414578907
0.049999999999999996	-0.9	0.0046942316586186935	0.0007878956723225587
0.049999999999999996	-0.8	0.006627114679580437	0.0009865976147094475
0.049999999999999996	-0.7	0.008376478121783899	0.001114453095618371
0.049999999999999996	-0.6	0.009924909473427564	0.0013274074902045164
0.049999999999999996	-0.5	0.011340632573692914	0.0015830664085000974
0.049999999999999996	-0.4	0.012492201398362374	0.001820673374424315
0.049999999999999996	-0.3	0.013542061227632428	0.0019760034929465612
0.049999999999999996	-0.2	0.014637856724456362	0.0022431916258217085
0.049999999999999996	-0.1	0.015456420962418038	0.0024208060005270465
0.049999999999999996	-0.0	0.01615622941554908	0.0027597322851487856
0.049999999999999996	0.098	0.016663624128083195	0.0031236667530004456
0.049999999999999996	0.198	0.017517834700254364	0.0031742597119383677
0.049999999999999996	0.298	0.01811539114364049	0.0036972654322550065
0.049999999999999996	0.398	0.01855324055463266	0.0038059492398122294
0.049999999999999996	0.498	0.018965771419346373	0.00404404943695726
0.049999999999999996	0.598	0.01941209248841767	0.004384256519031417
0.049999999999999996	0.698	0.02001848229506547	0.004685444209689042
0.049999999999999996	0.798	0.020699027563447	0.005067845934270114
0.049999999999999996	0.898	0.021197547790864458	0.004852363486760811
0.049999999999999996	0.998	0.021355161682915177	0.005371951903870663
0.09999999999999999	-0.999	0.003074484576489957	0.001054884514033733
0.09999999999999999	-0.9	0.005454856373860133	0.0011786704851757105
0.09999999999999999	-0.8	0.0073602362109479215	0.0011630736953569393
0.09999999999999999	-0.7	0.009130003903740493	0.0013674634979935318
0.09999999999999999	-0.6	0.010671685325749134	0.0016122890116009978
0.09999999999999999	-0.5	0.012104899179252006	0.0018481011667354035
0.09999999999999999	-0.4	0.013262154369247528	0.0019399375609644907
0.09999999999999999	-0.3	0.014579785588848117	0.0022915272945758314
0.09999999999999999	-0.2	0.015109767450299403	0.002741048847672078
0.09999999999999999	-0.1	0.015959611197101504	0.0026843050820216947
0.09999999999999999	-0.0	0.016963454679474035	0.0031614976209441885
0.09999999999999999	0.099	0.01734398211984266	0.003410003528071563
0.09999999999999999	0.199	0.018145384740810785	0.003540916502375617
0.09999999999999999	0.299	0.018623940703280155	0.003779587846767152
0.09999999999999999	0.399	0.018731330106564966	0.00438873277465446
0.09999999999999999	0.499	0.019612539136091345	0.00446069949981004
0.09999999999999999	0.599	0.019889606374080816	0.0042789485219879774
0.09999999999999999	0.699	0.020237999342898525	0.005050130601584219
0.09999999999999999	0.799	0.020676353521340844	0.0051245094331633274
0.09999999999999999	0.899	0.02067337576677015	0.005574142736725182
0.09999999999999999	0.999	0.021115423365578607	0.005662004485847478
0.15	-0.999	0.0035641978466029066	0.0012149658205152934
0.15	-0.9	0.005861255840196296	0.0012861835436956514
0.15	-0.8	0.007841363121667238	0.0014552465032568423
0.15	-0.7	0.009787861417876305	0.0016353960393528536
0.15	-0.6	0.01141087534992086	0.0018280456624138414
0.15	-0.5	0.012810038175918945	0.002233614645332471
0.15	-0.4	0.014029792945482032	0.0022151802188792114
0.15	-0.3	0.014974313165554188	0.002277915900849864
0.15	-0.2	0.015989922283031744	0.0026965547224327385
0.15	-0.1	0.01663012120934375	0.0029189461810904217
