#a	c	mean_phenotypic_distance	std
0.0001	-0.999	0.07265487979894332	0.056220018506240484
0.0001	-0.9	0.06540085684789552	0.07021219481611807
0.0001	-0.8	0.04867266072034879	0.04500274573142259
0.0001	-0.7	0.04550431825333988	0.03934571096420648
0.0001	-0.6	0.04757227620426752	0.06369488753767234
0.0001	-0.5	0.04049376552745992	0.05701933429940655
0.0001	-0.4	0.03983291804569386	0.05541770840264596
0.0001	-0.3	0.0324178321593586	0.03195278470200751
0.0001	-0.2	0.02751214074227694	0.026108219111978578
0.0001	-0.1	0.028680464079622596	0.03410828731468688
0.0001	-0.0	0.027813606573796914	0.028158574713198048
0.0001	0.1	0.024943296813350623	0.04210950750249581
0.0001	0.2	0.021910796188296302	0.015968678300997893
0.0001	0.3	0.02812590520745986	0.039434975339774914
0.0001	0.4	0.023900861988183857	0.02853168042488377
0.0001	0.5	0.019593416745053566	0.01506549916707313
0.0001	0.6	0.020426922905084473	0.02043830770189138
0.0001	0.7	0.017333595534150686	0.011297874962792716
0.0001	0.8	0.017766847658212268	0.013810010167954247
0.0001	0.9	0.01728509745376377	0.012432471885999977
0.0001	0.999	0.014163105518834934	0.007363269982398367
0.049999999999999996	-0.998	0.06206514498584908	0.04681316301984204
0.049999999999999996	-0.9	0.060574174939930704	0.058437304310730784
0.049999999999999996	-0.8	0.05093921604693485	0.05409951223481692
0.049999999999999996	-0.7	0.04207781075897354	0.04197769325845835
0.049999999999999996	-0.6	0.04360623420463316	0.05201260964372034
0.049999999999999996	-0.5	0.037903535737866784	0.03513097934244183
0.049999999999999996	-0.4	0.036114235233811035	0.04527211790598697
0.049999999999999996	-0.3	0.03340692232168847	0.03959110256831761
0.049999999999999996	-0.2	0.032719446586013855	0.04623671390787763
0.049999999999999996	-0.1	0.030755305125912038	0.045447792850984825
0.049999999999999996	-0.0	0.026493371570096274	0.02990636025679133
0.049999999999999996	0.098	0.026309647627110473	0.032059753151942406
0.049999999999999996	0.198	0.023696226397482267	0.02270723605972499
0.049999999999999996	0.298	0.02307100761099579	0.02623869912073649
0.049999999999999996	0.398	0.023068531313591337	0.026797241402888732
