#n_pop	landscape_idx	replicate	t	entropy	haplotype_diversity	nucleotide_diversity	strains	n_maxima	n_minima	maximum	minimum	gamma	mean	var	fitness_wildtype	mean_phenotypic_distance	tg0	n0	tg1	n1	tg2	n2	tg3	n3	tg4	n4	tg5	n5	tg6	n6	tg7	n7	tg8	n8	tg9	n9
1000	0	0	0	0.014427214862176116	0.003992	0.003992	2	2	3	2.2061549488590586	0.8453990278084367	0.6160384841355658	1.1595658813649392	0.0902660411344447	1.0002355137277243	0.0014849536223897053	0	998	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	1	0.06880007661318403	0.01987000000000003	0.01994	5	2	3	2.194279017269893	0.8436805860190854	0.6135966046117801	1.1558277704991067	0.08867774568688347	0.9989540518965097	0.014357888108628923	2	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	2	0.11365514261905123	0.037475999999999975	0.03767400000000001	5	2	3	2.1703652785410257	0.8393402049840777	0.609334227652805	1.1475225858570623	0.08571734885679705	0.9950988304743057	0.04298369945938461	2	12	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	3	0.15001643668655132	0.05478400000000004	0.055136	4	2	3	2.1483307615399765	0.8355046533219018	0.6051405605489183	1.140014808032476	0.08300743485405193	0.9917837618561827	0.06869087787158738	2	20	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	4	0.1944262305257398	0.0701200000000001	0.07083199999999998	6	2	3	2.139640401940802	0.8341039887470367	0.6033514724744102	1.1371528297627447	0.08192975151124582	0.9906386423647272	0.08133539829260658	16	1	2	23	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	5	0.25701505423154786	0.10508200000000005	0.106214	6	2	3	2.084859774070971	0.8247525460317665	0.5920805661845268	1.1186503976603195	0.07543113546465485	0.9826638230111329	0.14200475322797546	16	1	2	43	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	6	0.28074144545762153	0.12446399999999987	0.12564	5	2	3	2.0480447406361426	0.8189270194062235	0.5835911910028736	1.10662175848673	0.07116006876865133	0.977969360516811	0.17881056192465336	2	56	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	7	0.3930948132328205	0.19944399999999995	0.20153000000000001	5	2	4	1.9413779589117273	0.8021976600445001	0.5564192963606666	1.0719023653669941	0.059626732292338946	0.9645841026372479	0.3020964474060767	2	101	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	8	0.5027457291680522	0.2716320000000001	0.275826	6	2	3	1.8478158375629703	0.7890222001155106	0.527744965260136	1.042773261452054	0.05037226222667357	0.9550140952804891	0.41250549156103195	16	1	2	145	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	9	0.557726632794767	0.3221539999999999	0.32671599999999995	6	3	2	1.7702653245493354	0.7789636745750323	0.5005617167562084	1.0193913063378999	0.04340810262843009	0.9483307356089364	0.5011380314603983	16	2	2	186	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	10	0.6514484874344214	0.39178599999999997	0.3997339999999999	6	3	3	1.6739840034605131	0.7690745744965642	0.4609100867628663	0.9926593681032627	0.0355915763965291	0.9437977257122686	0.6090750214372539	16	3	2	243	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
