#a	c	min	max
0.0001	-0.999	2	19
0.0001	-0.9	2	18
0.0001	-0.8	1	17
0.0001	-0.7	1	17
0.0001	-0.6	1	17
0.0001	-0.5	1	16
0.0001	-0.4	1	17
0.0001	-0.3	1	16
0.0001	-0.2	1	15
0.0001	-0.1	1	15
0.0001	-0.0	1	15
0.0001	0.1	1	14
0.0001	0.2	1	14
0.0001	0.3	1	14
0.0001	0.4	1	13
0.0001	0.5	1	14
0.0001	0.6	1	14
0.0001	0.7	1	13
0.0001	0.8	1	11
0.0001	0.9	1	12
0.0001	0.999	1	10
0.049999999999999996	-0.998	2	20
0.049999999999999996	-0.9	2	19
0.049999999999999996	-0.8	1	17
0.049999999999999996	-0.7	1	18
0.049999999999999996	-0.6	1	15
0.049999999999999996	-0.5	1	16
0.049999999999999996	-0.4	1	16
0.049999999999999996	-0.3	1	15
0.049999999999999996	-0.2	1	15
0.049999999999999996	-0.1	1	16
0.049999999999999996	-0.0	1	14
0.049999999999999996	0.098	1	15
0.049999999999999996	0.198	1	14
0.049999999999999996	0.298	1	13
0.049999999999999996	0.398	1	13
0.049999999999999996	0.498	1	13
0.049999999999999996	0.598	1	14
0.049999999999999996	0.698	1	13
0.049999999999999996	0.798	1	14
0.049999999999999996	0.898	1	12
0.049999999999999996	0.998	1	12
0.09999999999999999	-0.999	2	22
0.09999999999999999	-0.9	2	19
0.09999999999999999	-0.8	1	17
0.09999999999999999	-0.7	1	17
0.09999999999999999	-0.6	1	20
0.09999999999999999	-0.5	1	16
0.09999999999999999	-0.4	1	15
0.09999999999999999	-0.3	1	16
0.09999999999999999	-0.2	1	15
0.09999999999999999	-0.1	1	14
0.09999999999999999	-0.0	1	15
0.09999999999999999	0.099	1	15
0.09999999999999999	0.199	1	15
0.09999999999999999	0.299	1	14
0.09999999999999999	0.399	1	15
0.09999999999999999	0.499	1	12
0.09999999999999999	0.599	1	14
0.09999999999999999	0.699	1	12
0.09999999999999999	0.799	1	12
0.09999999999999999	0.899	1	12
0.09999999999999999	0.999	1	10
0.15	-0.999	2	20
0.15	-0.9	2	19
0.15	-0.8	1	17
0.15	-0.7	1	16
0.15	-0.6	1	17
0.15	-0.5	1	16
0.15	-0.4	1	15
0.15	-0.3	1	16
0.15	-0.2	1	15
0.15	-0.1	1	15
0.15	-0.0	1	14
0.15	0.099	1	15
0.15	0.199	1	15
0.15	0.299	1	14
0.15	0.399	1	13
0.15	0.499	1	14
0.15	0.599	1	13
0.15	0.699	1	13
0.15	0.799	1	12
0.15	0.899	1	13
0.15	0.999	1	10
0.19999999999999998	-0.999	2	20
0.19999999999999998	-0.9	2	18
0.19999999999999998	-0.8	1	17
0.19999999999999998	-0.7	1	17
0.19999999999999998	-0.6	1	16
0.19999999999999998	-0.5	1	16
0.19999999999999998	-0.4	1	15
0.19999999999999998	-0.3	1	15
0.19999999999999998	-0.2	1	17
0.19999999999999998	-0.1	1	15
0.19999999999999998	-0.0	1	15
0.19999999999999998	0.1	1	14
0.19999999999999998	0.199	1	14
0.19999999999999998	0.299	1	13
0.19999999999999998	0.4	1	12
0.19999999999999998	0.499	1	12
0.19999999999999998	0.6	1	13
0.19999999999999998	0.7	1	13
0.19999999999999998	0.799	1	12
