#pop_size	correlation	landscape_idx	mean	std
1000	0.9	0	0.011435193439999932	0.006533612612447418
1000	0.9	1	0.01033658087999989	0.005845628465801156
1000	0.9	2	0.019543426879999937	0.01001245739898754
1000	0.9	3	0.01845826879999995	0.009681394014417002
1000	0.9	4	0.023123232079999907	0.01081974829426753
1000	0.9	5	0.022915545439999928	0.016388895427028302
1000	0.9	6	0.011477977519999924	0.006431590521381178
1000	0.9	7	0.050142693999999974	0.028864171367456816
1000	0.9	8	0.0164497833599999	0.020352353195995102
1000	0.9	9	0.016522084799999906	0.008798838637887618
1000	0.9	10	0.02861097559999993	0.018962071788248915
1000	0.9	11	0.02430195495999993	0.01391192696713613
1000	0.9	12	0.019355549199999947	0.00986990565880182
1000	0.9	13	0.09157885592	0.05436399655350819
1000	0.9	14	0.059153891519999946	0.04183744830794666
1000	0.9	15	0.02820415895999993	0.013363365933670135
1000	0.9	16	0.019133776959999915	0.011554028364389249
1000	0.9	17	0.02260757847999991	0.016994418915505544
1000	0.9	18	0.01880884743999991	0.027023834718468094
1000	0.9	19	0.015027807919999933	0.007816118905718835
1000	0.9	20	0.02217058623999994	0.011342392367159025
1000	0.9	21	0.03865384439999992	0.03365518105215326
1000	0.9	22	0.023944254559999927	0.014692501224998065
1000	0.9	23	0.06148879327999995	0.036022541402732144
1000	0.9	24	0.016229903039999917	0.0081887244625602
1000	0.9	25	0.017930940319999915	0.00946619593423341
1000	0.9	26	0.05779965063999994	0.03769751714198236
1000	0.9	27	0.0110047183199999	0.0066576603968011745
1000	0.9	28	0.2262451022399999	0.1982157613516183
1000	0.9	29	0.018772707199999947	0.009155865311648737
1000	0.9	30	0.016400210079999922	0.008415165557919895
1000	0.9	31	0.01904457271999993	0.013140004303020448
1000	0.9	32	0.08874337671999996	0.044369904698560246
1000	0.9	33	0.025174253279999944	0.012224199281458578
1000	0.9	34	0.049163815599999945	0.026198444832288472
1000	0.9	35	0.02283334719999994	0.013891287942446543
1000	0.9	36	0.025448186559999916	0.012997754569539685
1000	0.9	37	0.011802979359999917	0.007070602296105143
1000	0.9	38	0.01688372607999992	0.010263194768108124
1000	0.9	39	0.00932711743999992	0.005643662982152834
1000	0.9	40	0.021066353439999925	0.011137786698179386
1000	0.9	41	0.027620805919999936	0.012587124403928155
1000	0.9	42	0.010782679839999905	0.006206880374453575
1000	0.9	43	0.012922395359999925	0.008571747807715168
1000	0.9	44	0.03962829295999994	0.047983730571123324
1000	0.9	45	0.014903171039999942	0.010437157620501548
1000	0.9	46	0.03418790575999994	0.023398556703559153
1000	0.9	47	0.01910824143999995	0.009811529585542681
1000	0.9	48	0.08640733511999996	0.113144284325027
1000	0.9	49	0.027692120719999942	0.015646626407306605
1000	0.9	50	0.01046425887999993	0.006159677478255399
1000	0.9	51	0.03518607263999993	0.015936483066906128
1000	0.9	52	0.021409041679999925	0.012484463079291724
1000	0.9	53	0.03381055655999994	0.01784261056542997
1000	0.9	54	0.015978890719999916	0.016912295995888095
1000	0.9	55	0.01244111863999993	0.010525496674419432
1000	0.9	56	0.016349475519999917	0.008852638103554024
1000	0.9	57	0.016503081119999936	0.008313728496690306
1000	0.9	58	0.025171038559999952	0.01295554381509689
1000	0.9	59	0.020540671919999944	0.012199397044440098
1000	0.9	60	0.06235677647999997	0.046472779321649726
1000	0.9	61	0.019454797759999955	0.00987739469013028
1000	0.9	62	0.025127355119999945	0.05736933700043854
1000	0.9	63	0.036917034239999924	0.033560669053672956
1000	0.9	64	0.010376007279999917	0.0064749923509595676
1000	0.9	65	0.028475535039999944	0.014769047715887103
1000	0.9	66	0.04844845031999997	0.04457486569106032
1000	0.9	67	0.06539987311999994	0.12381983730220342
1000	0.9	68	0.00927806535999993	0.005647007647753208
1000	0.9	69	0.01360753895999991	0.010787397611192939
1000	0.9	70	0.016822731919999934	0.008479697634881357
1000	0.9	71	0.027925556479999933	0.031209140145862967
1000	0.9	72	0.03271084135999993	0.016361051176163998
1000	0.9	73	0.020574509759999946	0.012513098298516887
1000	0.9	74	0.02350932503999995	0.01260700623415555
1000	0.9	75	0.03353560951999997	0.017079737081595756
1000	0.9	76	0.24355836247999987	0.18371154645433954
1000	0.9	77	0.03963113895999992	0.01638061622722815
1000	0.9	78	0.02143384343999992	0.012052302327184825
1000	0.9	79	0.05323733471999993	0.0540722922963461
1000	0.9	80	0.04702550959999994	0.027229116300127112
1000	0.9	81	0.004965352799999925	0.005881267642559335
1000	0.9	82	0.018886724559999943	0.009500250647324392
1000	0.9	83	0.06615386111999998	0.029875400605308137
1000	0.9	84	0.033851593359999904	0.036567967686659784
1000	0.9	85	0.03564333167999995	0.0330101164937785
1000	0.9	86	0.018724193759999907	0.010005891954610019
1000	0.9	87	0.01987324183999992	0.010342748990481246
1000	0.9	88	0.0235809500799999	0.02353575471819154
1000	0.9	89	0.017920213439999944	0.009035783562325239
1000	0.9	90	0.03959344079999993	0.028734891147726094
1000	0.9	91	0.016820793599999943	0.009410003160990912
1000	0.9	92	0.007871989039999895	0.004994973121839528
1000	0.9	93	0.03697730687999996	0.02593129416352885
1000	0.9	94	0.009378197599999904	0.005513805408630016
1000	0.9	95	0.049823115599999954	0.026081749833497227
1000	0.9	96	0.017385948319999907	0.009415356363772302
1000	0.9	97	0.039729919599999955	0.022434327134764176
1000	0.9	98	0.018736509679999954	0.009723912110866501
1000	0.9	99	0.06434898383999992	0.0681535320592034
